method,dist,shape,mode,classification,deterministic,all_codes_eq_q0,final_linf,final_code_change_pct,min_cos,compression_ratio,lat_q_ms,lat_d_ms
affine_int4,normal,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.000012961653296,8.0,0.4566860000068118,0.040221999825007515
affine_int4,normal,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.000012961653296,8.0,0.21463600000970473,0.021675999960280024
affine_int4,normal,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.000026559290151,8.0,0.29174399992371036,0.05965200011814886
affine_int4,normal,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.000026559290151,8.0,0.3592719999687688,0.05123400001139089
affine_int4,normal,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9997120427845796,8.0,8.61452700019072,3.577370999892082
affine_int4,normal,llm_h8_s2048_d128,recomputed,NUMERICALLY-STABLE,True,True,4.76837158203125e-07,0.0,0.9997121577044715,8.0,10.098094999875684,3.133796999918559
affine_int4,heavy,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999973077097464,8.0,0.3490950000468729,0.030068000114624738
affine_int4,heavy,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,0.9999973077097464,8.0,0.22517899992635648,0.0741320000088308
affine_int4,heavy,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999844088379827,8.0,0.17799700003706675,0.04811999997400562
affine_int4,heavy,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,0.9999844088379827,8.0,0.3355940000346891,0.05801600013910502
affine_int4,heavy,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9994954865246239,8.0,3.461814000047525,3.397450999955254
affine_int4,heavy,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,0.9994954865246239,8.0,7.381689999874652,3.2437289999052155
affine_int4,outlier,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,8.0,0.3433479998875555,0.026434000119479606
affine_int4,outlier,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0,8.0,0.21695000009458454,0.022174999912749627
affine_int4,outlier,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999998908344375,8.0,0.2017669999077043,0.046020999889151426
affine_int4,outlier,llm_h8_s128_d64,recomputed,NUMERICALLY-STABLE,True,True,7.62939453125e-06,0.0,0.9999998908344495,8.0,0.34878500014201563,0.05738799995924637
affine_int4,outlier,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000010267821755,8.0,5.874228000038784,1.742239000122936
affine_int4,outlier,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0000010267821755,8.0,6.742088999999396,1.6779039999619272
affine_int4,rope,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999978192034744,8.0,0.6129839998720854,0.026287000082447776
affine_int4,rope,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,0.9999978192034744,8.0,0.2890769999339682,0.027980999902865733
affine_int4,rope,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999766801278618,8.0,0.22624799998993694,0.1388079999742331
affine_int4,rope,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,0.9999766801278618,8.0,0.29905699989285495,0.06224999992809899
affine_int4,rope,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.000045373339418,8.0,7.613912000124401,3.3988370000770374
affine_int4,rope,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.000045373339418,8.0,7.240782999815565,3.1566010000005917
symmetric_int4,normal,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.00000207177265,8.0,0.30706400002600276,0.022025999896868598
symmetric_int4,normal,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.00000207177265,8.0,0.14793900004406169,0.01851199999691744
symmetric_int4,normal,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000418412146481,8.0,0.23295599999073602,0.03956299997298629
symmetric_int4,normal,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0000418412146481,8.0,0.24310200001309568,0.03973200000473298
symmetric_int4,normal,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9996895250075051,8.0,6.703474999994796,1.2137109999912354
symmetric_int4,normal,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,0.9996895250075051,8.0,8.668863999901077,1.4469359998656728
symmetric_int4,heavy,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000026941786393,8.0,0.22284800002125849,0.026960000013787067
symmetric_int4,heavy,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0000026941786393,8.0,0.13834799983669654,0.030177000098774442
symmetric_int4,heavy,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999937264719634,8.0,0.13139000020601088,0.02817500012497476
symmetric_int4,heavy,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,0.9999937264719634,8.0,0.1955189998170681,0.09791899992706021
symmetric_int4,heavy,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999548132335682,8.0,2.5512530000924016,0.93921099983163
